user_id,name,city
1,UNKNOWN,Jodhpur
2,OLIVIA SHARMA,Pune
3,ANAYA  KAPOOR,Hyderabad
4,UNKNOWN,Gwalior
5,UNKNOWN,Amritsar
6,ANITA PATEL,Unknown
7,ANITA  THOMPSON,Bhopal
8,UNKNOWN,Pune
9,ISHAAN CHAUHAN,Thane
10,UNKNOWN,Kolkata
11,DEEPAK PATEL,Aurangabad
12,AMAN  JAIN,Hyderabad
13,HARSH TAYLOR,Coimbatore
14,UNKNOWN,Thrissur
15,UNKNOWN,Kanpur
16,KABIR PATEL,Gwalior
17,OLIVIA PATEL,Delhi
18,HARSH TAYLOR,Unknown
19,KAVITA ANSARI,Mumbai
20,ROHIT GOWDA,Visakhapatnam
21,SARA THAKUR,Hyderabad
22,UNKNOWN,Nashik
23,KABIR KHANNA,Kozhikode
24,POOJA CHAUHAN,Jabalpur
25,DEV REDDY,Agra
26,ZOYA DAS,Kozhikode
27,TARA NAIDU,Pune
28,ZOYA  CLARK,Indore
29,MEERA THAKUR,Vijayawada
30,MARIA KHAN,Nagpur
31,ANAYA KHANNA,Ahmedabad
32,KAVITA ANDERSON,Mumbai
33,NEHA ROY,Visakhapatnam
34,DEV PATEL,Vadodara
35,SIDDHARTH JOHNSON,Coimbatore
36,UNKNOWN,Rajkot
37,SIDDHARTH MISHRA,Chandigarh
38,AMIT BROWN,Delhi
39,SNEHA CHAUHAN,Varanasi
40,KOMAL TIWARI,Chennai
41,DEEPAK NAIDU,Mumbai
42,UNKNOWN,Pune
43,GAURAV YADAV,Gwalior
44,VIHAAN GUPTA,Faridabad
45,EMMA REDDY,Meerut
46,SHIVAM DUTTA,Lucknow
47,NEHA NAIDU,Chennai
48,RHEA JAIN,Allahabad
49,YASH GOWDA,Visakhapatnam
50,OLIVIA KHAN,Bhopal
51,FARHAN THAKUR,Ranchi
52,POOJA BOSE,Indore
53,EMMA  JOHNSON,Noida
54,PRIYA SHARMA,Ranchi
55,UNKNOWN,Coimbatore
56,GAURAV  KHAN,Dhanbad
57,ASHA GOWDA,Patna
58,ANAYA MALHOTRA,Salem
59,SARA PATEL,Thrissur
60,MAHESH KHANNA,Coimbatore
61,MEERA ROY,Pune
62,MANISH DUTTA,Meerut
63,MAHESH JAIN,Noida
64,UNKNOWN,Pune
65,GAURAV  THAKUR,Meerut
66,DEV WILLIAMS,Visakhapatnam
67,VIKAS GUPTA,Pune
68,MAHESH THOMPSON,Agra
69,SOPHIA GOWDA,Srinagar
70,LIAM MALHOTRA,Surat
71,HARSH WILLIAMS,Delhi
72,SHIVAM DSOUZA,Hyderabad
73,NEHA  SHARMA,Tirupati
74,ANITA NAIDU,Thrissur
75,NEHA MEHTA,Ludhiana
76,UNKNOWN,Kochi
77,ANAYA VERMA,Mysore
78,JAMES ROY,Patna
79,MAHESH SHEIKH,Howrah
80,JAMES  BROWN,Pune
81,POOJA  SHEIKH,Jodhpur
82,MAHESH CLARK,Vadodara
83,KABIR DUTTA,Allahabad
84,MARIA  DSOUZA,Coimbatore
85,ANITA DSOUZA,Ghaziabad
86,ASHA  AGARWAL,Mumbai
87,DEEPAK ANSARI,Allahabad
88,NEHA  CHAUHAN,Hyderabad
89,UNKNOWN,Chennai
90,GAURAV FERNANDES,Vadodara
91,UNKNOWN,Lucknow
92,AMIT  SHEIKH,Vijayawada
93,SARA ANSARI,Mumbai
94,RAHUL KHANNA,Allahabad
95,AMIT  JOSHI,Gurgaon
96,KABIR GOWDA,Rajkot
97,DEEPAK TAYLOR,Chennai
98,NOAH BOSE,Faridabad
99,HARSH SINGH,Jaipur
100,UNKNOWN,Allahabad
101,KOMAL YADAV,Jodhpur
102,DEV VERMA,Vijayawada
103,ARJUN REDDY,Gurgaon
104,SURESH MALHOTRA,Ranchi
105,NEHA  YADAV,Mumbai
106,POOJA GOWDA,Tirupati
107,UNKNOWN,Bhopal
108,MANISH MISHRA,Ahmedabad
109,MAHESH KHAN,Kochi
110,SURESH DAS,Chennai
111,TARA TAYLOR,Kozhikode
112,RHEA TRIPATHI,Bengaluru
113,TARA TAYLOR,Delhi
114,ZOYA BROWN,Chennai
115,NOAH ANDERSON,Ludhiana
116,KOMAL FERNANDES,Hyderabad
117,PETER MEHTA,Mysore
118,UNKNOWN,Allahabad
119,UNKNOWN,Mumbai
120,AMIT VERMA,Lucknow
121,ZOYA AGARWAL,Surat
122,KOMAL THOMPSON,Howrah
123,GAURAV SINGH,Nagpur
124,ROHIT KHANNA,Salem
125,AMAN DAS,Vadodara
126,RHEA BOSE,Hyderabad
127,SNEHA GUPTA,Bengaluru
128,VIHAAN SHEIKH,Aurangabad
129,EMMA BROWN,Unknown
130,ISHAAN JOSHI,Jodhpur
131,NOAH MISHRA,Salem
132,UNKNOWN,Unknown
133,DEV TRIPATHI,Thrissur
134,ASHA ROY,Bengaluru
135,JAMES FERNANDES,Varanasi
136,RHEA CHAUHAN,Agra
137,AMAN MEHTA,Indore
138,DAVID CHAUHAN,Nashik
139,UNKNOWN,Kochi
140,UNKNOWN,Delhi
141,JOHN THAKUR,Mumbai
142,UNKNOWN,Aurangabad
143,UNKNOWN,Jodhpur
144,SNEHA  THAKUR,Thrissur
145,ANITA MALHOTRA,Indore
146,TARA ANDERSON,Bhopal
147,PRIYA GOWDA,Indore
148,KOMAL ANDERSON,Nagpur
149,RHEA SINGH,Lucknow
150,DAVID  AGARWAL,Noida
151,KABIR TAYLOR,Kochi
152,UNKNOWN,Varanasi
153,PETER TRIPATHI,Indore
154,KAVITA GUPTA,Kochi
155,PETER MISHRA,Jodhpur
156,MAHESH GUPTA,Ludhiana
157,UNKNOWN,Hyderabad
158,SOPHIA GOWDA,Thrissur
159,UNKNOWN,Jodhpur
160,UNKNOWN,Hyderabad
161,SNEHA ANSARI,Allahabad
162,JAMES PATEL,Nagpur
163,POOJA BROWN,Chennai
164,UNKNOWN,Hyderabad
165,NOAH AGARWAL,Salem
